docno,text
1907844522920620467,"@plonialmon @DonDelegimo @MaxNordau @enneauro Do you concede that this is a child killed by an airstrike? Or are you going to continue dehumaninzing the children killed by Israel?

https://t.co/XzVkkuI3mA"
1907844386538295452,100 civilian Palestinians including many children were killed today by the Israeli air strikes and bombardment of Gaza. https://t.co/DxHt6EbEqL
1907844132883620207,"@LBC @LBC when are you going to talk about the over 100 Palestinians killed by Israel today? A school sheltering displaced families was targeted today killing dozens of women and children 

No western media including the tax payer funded @BBCNews is covering it

#Gaza #Palestine https://t.co/44BQRjo8yL"
1907843622097080439,100 civilian Palestinians including many children were killed today by the Israeli air strikes and bombardment of Gaza. https://t.co/ZM8SAdjeCM
1907843489314050421,100 civilian Palestinians including many children were killed today by the Israeli air strikes and bombardment of Gaza. https://t.co/rgYvTYURhb
1907843451703406726,100 civilian Palestinians including many children were killed today by the Israeli air strikes and bombardment of Gaza. https://t.co/zyPzS8svnq
1907843423702483379,100 civilian Palestinians including many children were killed today by the Israeli air strikes and bombardment of Gaza. https://t.co/Asq1dVjQra
1907843416400224493,Evacuation of children KILLED in Israeli bombing of Dar al Arqam school in Gaza City! https://t.co/Q5wetLrkHl
1907843323261272561,100 civilian Palestinians including many children were killed today by the Israeli air strikes and bombardment of Gaza. https://t.co/EqOGGHw1ys
1907843221364908374,100 civilian Palestinians including many children were killed today by the Israeli air strikes and bombardment of Gaza. https://t.co/RxUZpaf8YL
1907843062425928065,"@JesseJa00920812 Israel killed #HindRajab with 350 American bullet , a body of six-year-old Palestinian girl has been found decomposing in the car  #Gaza City.  These bullets &amp; more deadly weapons killed over 20,000 children were sent by Biden &amp; Now Trump is sending more
https://t.co/g7e5mpSHxI"
1907842651434651667,"More than 39,000 Palestinian children in Gaza have had one or both parents killed since the start of Israel’s genocidal war, says the Palestinian Central Bureau of Statistics on the eve of Palestinian Children’s Day.

🔴 LIVE updates: https://t.co/XhkRUWCmGq https://t.co/Il70hQis7z"
1907842617196658949,"‼️Gaza Civil Defense spokesman:‼️

🔴What Gaza is experiencing is madness, and the remains of our children fill the Dar al-Arqam school, where 21 Palestinians were killed in an israeli airstrike on the school, which was sheltering displaced people in the al-Tuffah neighborhood"
1907842422572265819,@Byoussef Nothing is ok 💔💔💔 children are getting killed in Gaza everyday I cant stand it anymore 😭😭😭
1907842419594334321,"At least 21 killed in Israeli strike on Gaza school, mostly women, children, rescuers say https://t.co/tO7vDQYxZG"
1907841036321247675,"Reports of heavy Israeli strikes on Gaza City
 
A school sheltering displaced Palestinians was targeted w/ 30 people reported killed, Israel says Hamas operatives were inside but images of many dead / injured children

Before that 50+ Palestinians killed in strikes overnight https://t.co/xIfHRlChM2"
1907840941240590840,@BBCWorld At least 322 children killed by Israel whilst they continue to ignore international law and continue with their genocidal activities in Gaza.
1907840737405997302,"@duntduntaduh @WhiteHouse @POTUS Stop the Holocaust in Gaza.
Massacres every hour. Hundreds of children killed every hour.
Wake up.
Stop the extremism of Palestinians. https://t.co/Pj66YPNvuu"
1907840680774242591,"@JustAJaneJ @WhiteHouse @POTUS Stop the Holocaust in Gaza.
Massacres every hour. Hundreds of children killed every hour.
Wake up.
Stop the extremism of Palestinians. https://t.co/dxuA2IPo4N"
1907840675095122262,"@RT_com Release the hostages and evacuate Gaza, it's as simple as that.

This is the consequences of Palestinian atrocities on Oct 7th, make no mistake about it. Palestinians invaded Israel and killed 1,200 innocent children and elderly people, even babies and went on to kidnap 250"
1907840671198884170,"Not satisfied with the number of civilians, including children, they killed in a previous strike on a school shelter, IOF strikes again!
Anyone who condones this can rot in hell 🤬
https://t.co/0olKVV8ulf https://t.co/IbgN3FNIYY"
1907868468046946726,"@elonmusk Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/cVvODBpSV0"
1907868413097136492,"@IvankaNews_ Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/z4ULqLrAPh"
1907868294859907501,"@SecRubio Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/Kxb95WAi5o"
1907868238332956979,"@BigImpactHumans Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/1wso2c0Mxr"
1907868131957289327,"@livgolf_league Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/vUJT15wpOu"
1907868070497931406,"@elonmusk Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/wL4FCd1RFu"
1907867763856851256,"@MichelleObama @girlsalliance @MTGKilifi Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/Em8g6p7qAA"
1907867658617323571,"@IvankaTrump Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/skEjveM0zd"
1907867506112623055,"@zubirahmed Gentle reminder, your glorious Labour Party did everything it possibly could to NOT call for an immediate ceasefire in Gaza. https://t.co/BlPjyE473v"
1907867439569973436,"@Maraai777 @EGYOSINT because israelis are occupying zone D (philadelphi corridor) right now which is violation of the david camp accords🙃
https://t.co/cCzYIPrJX3"
1907867428815581449,"@BigImpactHumans Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/uOvPdWcUqt"
1907867377540248021,"@RepBrandonGill @elonmusk @JudiciaryGOP Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/CkDqrUSeLS"
1907867278080643387,"Macron is planning a trip to Egypt,  where he plans to visit near the Gaza border to demonstrate support for ceasefire https://t.co/bOFbGkzkak"
1907867243209207925,"@DGrayTexas45 @BircherTrustee @elonmusk Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/UTk91yB8Hf"
1907867084492615785,"@KnowThyFulcrum @TheMattPresti @71Nous @ClassicalAegis Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/mCoI9ro87u"
1907866962673152439,"@CherylWroteIt @jaygwaltney1 @POTUS @mihaschw Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/ejxXiZESjJ"
1907866917999685922,"Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/f2MgQndn94"
1907866823426715812,"@GolfDigest @Lwillow_86 Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/tUp6T6SfsL"
1907866706300555438,"Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread
#NoFlourinGaza"
1907866649975206320,"@SenJohnKennedy Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/5DB3TogSBR"
1907866591582105629,"@realDonaldTrump Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/7TugQSGlaN"
1907866527426064459,"@Tesla Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/FAgKYVCiMx"
1907866425362194790,"@cb_doge @elonmusk Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/QbmEbgBFVt"
1907866313231311140,"In Gaza’s Shujaiyye neighborhood, residents are forced to flee as Israeli airstrikes resume

- Since March 18, over 1,160 have been killed and 2,700 injured, shattering ceasefire and exchange deals https://t.co/sQrxd1Q3RP"
1907866276246270421,"Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/wSiUfWFG7v"
1907866207455203714,"Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza"
1907865373560447135,"Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza
 #NoFlourinGaza"
1907865214583775574,"Hamas will not respond to Israel's counter Gaza ceasefire proposal, official says #Hamas #Israel #GazaStrip
https://t.co/plhLmGOc4k"
1907865046665015774,@AmiDar No I respect most of what you say but you keep drawing a false equivalence. The Israelis have made their intentions clear- to eliminate/ethnically cleanse the Palestinians from Gaza. It doesn’t matter what Hamas does or what happens to the hostages. There was a ceasefire plan
1907864832033862065,"Israel killed 1200 people since it broke the ceasefire in Gaza.

Medics killed in execution style. Father holding his beheaded baby girl. Children shredded to pieces. Grandmas  burnt alive. Men bulldozed alive. All this is ongoing for 18 months.

What. Does. It. Take"
1907864552860983638,"@Osint613 Paris looks worse than Gaza. 

Macron needs a ceasefire in his own country."
1907864192964813003,"@AssalRad - Get into 1st ceasefire
- fuck it up by not giving jewish hostages back
- get fucked up
- ask for new ceasefire
- wonder why your words are now not considered as worth taking into account

Israel should've leveled gaza and hamas w it in 2023"
1907863725232529850,"Israel, which does not comply with the ceasefire, has blocked the entry of flour and fuel, leaving Gaza without bread.

#NoFlourinGaza https://t.co/llo6Hh4SpX"
1907862743249543579,Israel has chosen military occupation over a ceasefire in Gaza. Where does this end?  https://t.co/zKqN4qzju0
1907862313891197410,@TheHistoryNov @SkyNews Israel never kept to the ceasefire in Gaza and Lebanon.
